ID, Node1, Node2, diameter (in), thickness (in), E (Pa), sigma_y (Pa), sigma_u (Pa)
1,1,2,1,0.065,200000000000,460000000,560000000
2,2,3,1,0.065,200000000000,460000000,560000000
3,3,4,1,0.065,200000000000,460000000,560000000
4,4,1,1,0.065,200000000000,460000000,560000000
5,3,5,1,0.049,200000000000,460000000,560000000
6,5,2,1,0.049,200000000000,460000000,560000000
7,5,6,1,0.049,200000000000,460000000,560000000
8,6,7,1,0.049,200000000000,460000000,560000000
9,2,8,1,0.049,200000000000,460000000,560000000
10,8,5,1,0.049,200000000000,460000000,560000000
11,8,6,1,0.049,200000000000,460000000,560000000
12,6,9,1,0.049,200000000000,460000000,560000000
13,9,7,1,0.095,200000000000,460000000,560000000
14,8,9,1,0.049,200000000000,460000000,560000000
15,10,9,1,0.095,200000000000,460000000,560000000
16,1,11,1,0.065,200000000000,460000000,560000000
17,7,12,1,0.065,200000000000,460000000,560000000
18,11,10,1,0.065,200000000000,460000000,560000000
19,12,9,1,0.065,200000000000,460000000,560000000
20,2,11,1,0.065,200000000000,460000000,560000000
21,11,13,1,0.065,200000000000,460000000,560000000
22,14,9,1,0.065,200000000000,460000000,560000000
23,14,12,1,0.095,200000000000,460000000,560000000
24,10,14,0.75,0.035,200000000000,460000000,560000000
25,14,15,1,0.095,200000000000,460000000,560000000
26,15,16,1,0.095,200000000000,460000000,560000000
27,15,17,1,0.065,200000000000,460000000,560000000
28,14,17,1,0.049,200000000000,460000000,560000000
29,12,18,1,0.049,200000000000,460000000,560000000
30,18,14,1,0.049,200000000000,460000000,560000000
31,18,17,1,0.049,200000000000,460000000,560000000
32,18,19,1,0.049,200000000000,460000000,560000000
33,19,17,1,0.049,200000000000,460000000,560000000
34,16,20,1,0.095,200000000000,460000000,560000000
35,20,14,0.75,0.035,200000000000,460000000,560000000
36,20,21,1,0.095,200000000000,460000000,560000000
37,21,12,0.75,0.035,200000000000,460000000,560000000
38,10,13,1,0.095,200000000000,460000000,560000000
39,20,22,1,0.065,200000000000,460000000,560000000
40,13,22,1,0.095,200000000000,460000000,560000000
41,22,23,1,0.095,200000000000,460000000,560000000
42,23,7,0.75,0.035,200000000000,460000000,560000000
43,21,23,1,0.065,200000000000,460000000,560000000
44,21,22,1,0.065,200000000000,460000000,560000000
45,21,7,0.75,0.035,200000000000,460000000,560000000
46,23,24,1,0.049,200000000000,460000000,560000000
47,5,25,1,0.049,200000000000,460000000,560000000
48,26,20,1,0.049,200000000000,460000000,560000000
49,27,26,1,0.049,200000000000,460000000,560000000
50,22,24,1,0.049,200000000000,460000000,560000000
51,24,28,1,0.049,200000000000,460000000,560000000
52,28,25,1,0.049,200000000000,460000000,560000000
53,25,1,1,0.049,200000000000,460000000,560000000
54,1,28,1,0.049,200000000000,460000000,560000000
55,22,28,1,0.049,200000000000,460000000,560000000
56,16,26,1,0.065,200000000000,460000000,560000000
57,27,29,1,0.049,200000000000,460000000,560000000
58,29,21,1,0.049,200000000000,460000000,560000000
59,26,29,1,0.049,200000000000,460000000,560000000
60,19,27,1,0.049,200000000000,460000000,560000000
61,17,26,1,0.049,200000000000,460000000,560000000
62,18,29,1,0.049,200000000000,460000000,560000000
63,20,29,1,0.049,200000000000,460000000,560000000
64,13,20,0.75,0.035,200000000000,460000000,560000000
65,24,25,1,0.049,200000000000,460000000,560000000
66,25,4,1,0.049,200000000000,460000000,560000000
